,What is your age?,What gender do you identify as?,What year are you?,What is your approximate cumulative GPA as of Winter 2022?,What was your approximate GPA during the Winter 2022 quarter?,What was your approximate GPA for your first year at UCR?,What class is making you fill out this survey?,"How many STEM advanced classes did you take in high school (AP, IB, Honors, Dual-Enrollment, etc.)?","How many social studies/arts advanced classes did you take in high school (AP, IB, Honors, Dual-Enrollment, etc.)? ",How often do you procrastinate your homework/class projects?,Rate the importance of your education in your life on a scale of 1-5,Rate the enjoyment/fulfillment you receive from education on a scale of 1-5,How many hours do you study per week on average (not including time spent doing homework)?,Do you have test anxiety?,"Generally, how would you categorize your confidence in your classes?",How often do you attend office hours?,How often do you attend lectures for your classes?,How often do you ask questions in your lectures?,How many hours do you spend doing homework per week on average?,"If the class is hybrid, how often do you go to classes online?","If lecture recordings are posted, how often would you attend lecture?",What would you currently rate your level of imposter syndrome?,How do you feel you are doing this quarter?,"Last week, how would you rate your stress level on a scale from 1 to 5?",Did you finish high school in the top 5% of your class?, Have your feelings of imposter syndrome increased or decreased between high school and your first quarter at UCR? ,Have your feelings of imposter syndrome increased or decreased between your first year at UCR and now?,Is it difficult for you to stay on top of your day to day tasks?
0,21,Woman,Junior,3.43,3.9,3.5,CS105,4,3,3,4,3,20,Sometimes,3,2,5,2,15,4,5,5.0,1,5,Yes,Increased,Increased,No
1,20,Man,Sophomore,3.81,3.75,3.9,CS111,2,1,2,4,4,2,Sometimes,4,1,5,2,15,1,2,4.0,3,4,No,Decreased,Increased,Yes
2,19,Man,Sophomore,2.7,2.7,2.7,CS111,6,5,3,4,2,20,No,3,2,5,4,20,1,3,2.0,3,3,No,Increased,Increased,Yes
3,20,Man,Junior,3.9,3.9,3.9,CS105,1,1,4,4,4,8,No,4,3,4,2,12,3,3,2.0,4,3,No,Increased,Increased,No
4,21,Man,Junior,3.4,3.4,3.4,CS111,0,0,1,5,4,15,Sometimes,3,1,5,1,15,5,5,2.0,3,3,Yes,Decreased,Decreased,No
5,21,Man,Junior,3.88,3.88,3.88,CS105,2,0,4,4,3,6,Yes,4,3,5,2,6,3,5,3.0,3,4,Yes,Increased,Increased,Yes
6,27,Man,Junior,3.44,3.4,3.44,CS105,0,0,3,5,4,10,No,3,1,4,2,20,2,2,4.0,2,5,No,Increased,Increased,Yes
7,20,Man,Junior,3.25,3.25,,CS105,2,2,3,5,3,5,Yes,4,2,5,2,8,3,5,3.0,3,3,No,Increased,Increased,No
8,21,Man,Junior,3.8,3.6,4.0,CS105,1,0,2,4,1,20,Yes,2,3,4,4,20,3,3,4.0,2,3,No,Increased,Increased,Yes
9,23,Man,Senior,2.2,3,2.1,CS105,2,0,5,3,2,10,Yes,4,1,5,1,6,2,2,5.0,4,5,No,Increased,Increased,Yes
10,24,Man,Junior,3.45,3.55,3.45,CS105,1,0,2,4,2,0,Yes,2,1,5,1,6,5,4,5.0,1,5,No,Increased,Increased,No
11,22,Man,Master's,3.97,4,4.0,CS105,10,4,2,5,4,1,No,5,1,5,3,7,5,5,3.0,5,3,Yes,Decreased,Decreased,No
12,22,Man,Junior,3.65,4,3.65,CS105,0,0,3,5,3,18,Sometimes,3,1,5,1,20,5,5,4.0,3,4,No,Increased,Increased,Yes
13,24,Man,Senior,3.0,3,3.4,CS105,0,0,5,4,3,0,Sometimes,3,1,5,2,10,3,4,3.0,4,4,No,Increased,Increased,Yes
14,23,Man,Senior,2.9,3.57,2.85,CS141,4,5,2,5,4,5,No,5,1,5,1,14,5,5,1.0,4,3,No,Decreased,Decreased,No
15,21,Man,Junior,3.86,3.9,3.74,CS105,3,7,3,5,5,2,No,2,1,4,1,15,4,4,1.0,4,4,No,Decreased,Decreased,No
16,20,Man,Junior,3.13,3,3.8,CS105,9,0,4,5,4,4,Yes,3,2,5,2,8,5,5,3.0,3,3,Yes,Increased,Increased,Yes
17,22,Man,Junior,3.92,3.5,3.77,CS141,4,0,2,4,3,10,Sometimes,4,2,5,2,20,3,3,1.0,3,4,No,Decreased,Decreased,No
18,22,Man,Senior,3.3,3.3,3.4,CS105,,,3,4,4,5,Yes,3,2,4,2,6,5,4,3.0,3,4,Yes,Decreased,Decreased,Yes
19,26,Woman,Junior,2.97,3.25,3.5,CS105,1,3,5,4,2,5 hours,Yes,1,1,3,1,8 hours,4,4,5.0,1,5,No,Increased,Increased,Yes
20,20,Non-binary/non-conforming,Sophomore,3.6,3.8,3.8,CS111,"AP Calculus, AP Environmental Science",,4,3,2,2,Sometimes,3,2,4,2,8,4,3,4.0,2,4,Yes,Increased,Increased,Yes
21,21,Man,Senior,3.51,3.45,3.4,CS105,6,5,3,5,4,10,Sometimes,4,2,5,2,10,1,5,4.0,4,2,No,Increased,Increased,No
22,20,Man,Sophomore,3.5,3.75,3.48,CS105,5,3,1,5,3,8,Yes,4,3,4,2,12,5,5,3.0,2,5,No,Increased,Decreased,Yes
23,20,Man,Sophomore,3.6,3.81,3.44,CS105,7,0,5,4,3,5,Yes,4,2,4,4,10,3,4,3.0,2,4,No,Decreased,Decreased,Yes
24,24,Man,Master's,3.4,3.6,4.0,CS105,,,3,5,4,20,No,4,2,4,2,7,5,5,,4,3,Yes,Increased,Increased,Yes
25,23,Man,Junior,3.12,2.46,3.52,CS105,2,1,4,4,2,2,Sometimes,3,1,4,2,14,5,3,3.0,4,3,No,Increased,Decreased,No
26,19,Man,Sophomore,3.87,3.87,3.9,CS141,2,2,4,3,2,5,Yes,1,2,5,1,20,2,5,5.0,2,3,No,Increased,Increased,Yes
27,21,Man,Junior,2.97,3.2,2.97,CS141,0,2,4,4,4,10,No,3,2,5,5,10,4,5,1.0,4,1,No,Increased,Increased,Yes
28,21,Woman,Sophomore,3.96,3.84,4.0,CS105,None,None,3,5,4,4,Yes,4,2,5,4,8,4,5,5.0,4,5,Yes,Decreased,Increased,Yes
29,20,Man,Sophomore,3.7,3.7,3.69,CS141,4,0,2,3,3,20,Yes,2,2,5,2,20,3,5,4.0,2,5,No,Decreased,Increased,No
30,22,Man,Senior,3.76,3.8,3.76,CS141,2,0,2,3,2,4,Yes,4,2,5,3,20,5,4,4.0,2,4,No,Increased,Increased,Yes
